plant_common_name,location_latitude,location_longitude,date_sighted,soil_type,plant_height_cm,plant_color
Swampprivet,43.963917,4.796809,7/24/2021,clayey,236.89,purple
Groundcover Milkvetch,59.9581564,10.7840665,12/3/2021,sandy,3.21,green
Greater Marsh St. Johnswort,-7.150975,110.1402594,8/22/2021,sandy,2.81,purple
Silver Sage,48.5851876,7.7342943,7/5/2021,sandy,251.34,yellow
Hairyflower Wild Petunia,-4.269928,138.0803529,11/9/2021,clayey,160.73,purple
Canada Germander,-5.2218841,145.7856324,9/2/2021,sandy,60.61,purple
Oregon Gumweed,36.2013157,117.6712891,2/5/2021,clayey,12.44,purple
Gholson's Blazing Star,7.9180075,-71.0601767,12/2/2021,loamy,390.99,red
Elmore's Rim Lichen,44.351935,-87.8445954,12/15/2021,loamy,489.32,purple
Violet Butterwort,47.666899,-3.022273,7/15/2021,sandy,4.37,yellow
Bitter Panicgrass,40.8591123,19.7487502,12/20/2021,clayey,86.73,yellow
Small Ballmoss,52.6053795,39.5788904,12/18/2021,loamy,101.66,green
Chaparral False Bindweed,32.795859,35.530973,1/20/2021,clayey,390.64,yellow
Madieravine,32.886855,-96.967936,12/29/2021,loamy,204.17,green
Tapellaria Lichen,52.3992802,36.5028259,4/26/2021,clayey,18.06,green
Yellow Guinea Yam,-6.2671905,107.1010641,10/5/2021,loamy,393.47,red
Bog Labrador Tea,43.3050854,68.2346884,5/14/2021,clayey,403.53,green
Fourspike Heliotrope,40.8926881,-8.4460592,10/16/2021,clayey,325.2,green
Coyote Mint,18.467605,-69.911527,1/18/2021,clayey,17.22,yellow
Sharpflower Rush,51.3412504,32.8797802,7/14/2021,sandy,64.06,yellow
Silver Vine,51.8815586,-8.4784945,9/26/2021,loamy,455.58,green
Small-leaf Bentgrass,56.076372,35.9263157,4/27/2021,loamy,53.71,purple
Garden Asparagus,-0.8406658,-80.1596041,10/11/2021,loamy,265.18,green
Long Key Locustberry,-6.7757862,111.7465609,6/16/2021,loamy,146.46,yellow
Granite Gooseberry,38.05106,114.463347,12/10/2021,sandy,304.11,yellow
Lotebush,-7.5944434,-35.1048713,7/13/2021,clayey,443.08,yellow
Persistent Blackberry,28.488535,117.653994,6/11/2021,clayey,38.27,green
Yukon Bellflower,23.11134,89.09061,4/11/2021,clayey,60.51,red
Coahuila Blazingstar,55.874056,37.690366,10/3/2021,sandy,227.04,purple
Mat Rockspirea,-34.5954682,-58.5124071,12/26/2021,loamy,102.33,purple
Micronesian Ground Orchid,9.0835262,-79.2906747,9/13/2021,loamy,412.15,purple
Threefold,32.562824,104.559168,8/13/2021,loamy,222.38,purple
Forked Pepperweed,32.3622982,120.5285929,5/1/2021,clayey,222.56,red
Tall Fescue,-6.9322,113.0284,1/22/2021,loamy,253.6,yellow
Laurel Sumac,-7.2638,106.54,5/17/2021,sandy,343.37,red
Redclay Hawthorn,-8.3739,124.4172,9/13/2021,clayey,112.19,green
Eucalyptus,7.43333,124.21667,10/9/2021,sandy,179.08,red
Kona Panicgrass,34.2412845,108.9652643,8/28/2021,clayey,286.33,green
